,3/6/2020
Timezone,-5
,
Serial No.,B4000000346D8121
Location:,Bosque Humedo air
High temperature limit (°C),20
Low temperature limit (°C),0
Date - Time,Temperature (°C)
2/1/2020 13:01,30.5
2/1/2020 14:01,31
2/1/2020 15:01,30
2/1/2020 16:01,30
2/1/2020 17:01,28
2/1/2020 18:01,26.5
2/1/2020 19:01,25.5
2/1/2020 20:01,24.5
2/1/2020 21:01,23.5
2/1/2020 22:01,23.5
2/1/2020 23:01,24
2/2/2020 0:01,24.5
2/2/2020 1:01,24.5
2/2/2020 2:01,23.5
2/2/2020 3:01,22.5
2/2/2020 4:01,23
2/2/2020 5:01,24.5
2/2/2020 6:01,24
2/2/2020 7:01,23
2/2/2020 8:01,24
2/2/2020 9:01,25.5
2/2/2020 10:01,28
2/2/2020 11:01,29.5
2/2/2020 12:01,30.5
2/2/2020 13:01,30.5
2/2/2020 14:01,30
2/2/2020 15:01,30
2/2/2020 16:01,28
2/2/2020 17:01,27.5
2/2/2020 18:01,27
2/2/2020 19:01,26
2/2/2020 20:01,25.5
2/2/2020 21:01,25.5
2/2/2020 22:01,25
2/2/2020 23:01,25
2/3/2020 0:01,25
2/3/2020 1:01,24.5
2/3/2020 2:01,24.5
2/3/2020 3:01,25
2/3/2020 4:01,24.5
2/3/2020 5:01,24.5
2/3/2020 6:01,24
2/3/2020 7:01,23.5
2/3/2020 8:01,24
2/3/2020 9:01,25
2/3/2020 10:01,25.5
2/3/2020 11:01,26.5
2/3/2020 12:01,28.5
2/3/2020 13:01,29
2/3/2020 14:01,29
2/3/2020 15:01,28
2/3/2020 16:01,28.5
2/3/2020 17:01,27
2/3/2020 18:01,26
2/3/2020 19:01,25.5
2/3/2020 20:01,25.5
2/3/2020 21:01,25
2/3/2020 22:01,25
2/3/2020 23:01,25
2/4/2020 0:01,25
2/4/2020 1:01,25
2/4/2020 2:01,25
2/4/2020 3:01,25
2/4/2020 4:01,25
2/4/2020 5:01,25
2/4/2020 6:01,24
2/4/2020 7:01,24.5
2/4/2020 8:01,25
2/4/2020 9:01,26.5
2/4/2020 10:01,27.5
2/4/2020 11:01,28.5
2/4/2020 12:01,29
2/4/2020 13:01,30
2/4/2020 14:01,30.5
2/4/2020 15:01,30.5
2/4/2020 16:01,29.5
2/4/2020 17:01,29
2/4/2020 18:01,28
2/4/2020 19:01,27
2/4/2020 20:01,26.5
2/4/2020 21:01,26
2/4/2020 22:01,25.5
2/4/2020 23:01,25.5
2/5/2020 0:01,25.5
2/5/2020 1:01,25.5
2/5/2020 2:01,25.5
2/5/2020 3:01,25.5
2/5/2020 4:01,25
2/5/2020 5:01,25
2/5/2020 6:01,25
2/5/2020 7:01,24.5
2/5/2020 8:01,25
2/5/2020 9:01,26.5
2/5/2020 10:01,28.5
2/5/2020 11:01,29
2/5/2020 12:01,30
2/5/2020 13:01,31
2/5/2020 14:01,32
2/5/2020 15:01,31.5
2/5/2020 16:01,30.5
2/5/2020 17:01,29.5
2/5/2020 18:01,28
2/5/2020 19:01,27
2/5/2020 20:01,26.5
2/5/2020 21:01,26
2/5/2020 22:01,25.5
2/5/2020 23:01,25.5
2/6/2020 0:01,25
2/6/2020 1:01,25
2/6/2020 2:01,23.5
2/6/2020 3:01,23
2/6/2020 4:01,22
2/6/2020 5:01,21
2/6/2020 6:01,20.5
2/6/2020 7:01,20
2/6/2020 8:01,21
2/6/2020 9:01,23
2/6/2020 10:01,27
2/6/2020 11:01,29.5
2/6/2020 12:01,30.5
2/6/2020 13:01,31
2/6/2020 14:01,31.5
2/6/2020 15:01,32.5
2/6/2020 16:01,32
2/6/2020 17:01,31
2/6/2020 18:01,29.5
2/6/2020 19:01,27
2/6/2020 20:01,27
2/6/2020 21:01,26.5
2/6/2020 22:01,25.5
2/6/2020 23:01,25
2/7/2020 0:01,24
2/7/2020 1:01,22.5
2/7/2020 2:01,21.5
2/7/2020 3:01,21
2/7/2020 4:01,20.5
2/7/2020 5:01,20
2/7/2020 6:01,20
2/7/2020 7:01,20
2/7/2020 8:01,20.5
2/7/2020 9:01,23
2/7/2020 10:01,26.5
2/7/2020 11:01,29.5
2/7/2020 12:01,31.5
2/7/2020 13:01,32
2/7/2020 14:01,31.5
2/7/2020 15:01,32
2/7/2020 16:01,33
2/7/2020 17:01,31.5
2/7/2020 18:01,29.5
2/7/2020 19:01,28
2/7/2020 20:01,27
2/7/2020 21:01,26
2/7/2020 22:01,25.5
2/7/2020 23:01,25
2/8/2020 0:01,25
2/8/2020 1:01,24
2/8/2020 2:01,22.5
2/8/2020 3:01,21.5
2/8/2020 4:01,20.5
2/8/2020 5:01,20
2/8/2020 6:01,21
2/8/2020 7:01,21.5
2/8/2020 8:01,24
2/8/2020 9:01,25
2/8/2020 10:01,27.5
2/8/2020 11:01,28.5
2/8/2020 12:01,30.5
2/8/2020 13:01,31
2/8/2020 14:01,31
2/8/2020 15:01,31
2/8/2020 16:01,29.5
2/8/2020 17:01,29
2/8/2020 18:01,28
2/8/2020 19:01,27
2/8/2020 20:01,26.5
2/8/2020 21:01,26
2/8/2020 22:01,26
2/8/2020 23:01,26
2/9/2020 0:01,25.5
2/9/2020 1:01,25.5
2/9/2020 2:01,25
2/9/2020 3:01,25
2/9/2020 4:01,25
2/9/2020 5:01,24.5
2/9/2020 6:01,25
2/9/2020 7:01,25
2/9/2020 8:01,25
2/9/2020 9:01,25.5
2/9/2020 10:01,27
2/9/2020 11:01,29
2/9/2020 12:01,31
2/9/2020 13:01,30
2/9/2020 14:01,30
2/9/2020 15:01,29.5
2/9/2020 16:01,29
2/9/2020 17:01,28.5
2/9/2020 18:01,27.5
2/9/2020 19:01,27
2/9/2020 20:01,26.5
2/9/2020 21:01,25.5
2/9/2020 22:01,25.5
2/9/2020 23:01,24.5
2/10/2020 0:01,24.5
2/10/2020 1:01,24.5
2/10/2020 2:01,24
2/10/2020 3:01,23.5
2/10/2020 4:01,23.5
2/10/2020 5:01,24
2/10/2020 6:01,23.5
2/10/2020 7:01,24
2/10/2020 8:01,24
2/10/2020 9:01,25.5
2/10/2020 10:01,27
2/10/2020 11:01,28
2/10/2020 12:01,30
2/10/2020 13:01,30.5
2/10/2020 14:01,31.5
2/10/2020 15:01,30.5
2/10/2020 16:01,30
2/10/2020 17:01,29
2/10/2020 18:01,28
2/10/2020 19:01,27
2/10/2020 20:01,26.5
2/10/2020 21:01,26.5
2/10/2020 22:01,26
2/10/2020 23:01,25
2/11/2020 0:01,25
2/11/2020 1:01,25
2/11/2020 2:01,25
2/11/2020 3:01,24.5
2/11/2020 4:01,24.5
2/11/2020 5:01,24.5
2/11/2020 6:01,25
2/11/2020 7:01,25
2/11/2020 8:01,25.5
2/11/2020 9:01,26.5
2/11/2020 10:01,28
2/11/2020 11:01,28
2/11/2020 12:01,30
2/11/2020 13:01,30.5
2/11/2020 14:01,30
2/11/2020 15:01,28.5
2/11/2020 16:01,29
2/11/2020 17:01,28.5
2/11/2020 18:01,27.5
2/11/2020 19:01,26.5
2/11/2020 20:01,25.5
2/11/2020 21:01,25.5
2/11/2020 22:01,25.5
2/11/2020 23:01,25.5
2/12/2020 0:01,25
2/12/2020 1:01,25.5
2/12/2020 2:01,25.5
2/12/2020 3:01,25.5
2/12/2020 4:01,25
2/12/2020 5:01,25.5
2/12/2020 6:01,25.5
2/12/2020 7:01,25.5
2/12/2020 8:01,25.5
2/12/2020 9:01,27
2/12/2020 10:01,28.5
2/12/2020 11:01,29.5
2/12/2020 12:01,30
2/12/2020 13:01,31
2/12/2020 14:01,30.5
2/12/2020 15:01,30.5
2/12/2020 16:01,29.5
2/12/2020 17:01,28.5
2/12/2020 18:01,27.5
2/12/2020 19:01,26.5
2/12/2020 20:01,26
2/12/2020 21:01,26
2/12/2020 22:01,25.5
2/12/2020 23:01,25
2/13/2020 0:01,25
2/13/2020 1:01,25
2/13/2020 2:01,25
2/13/2020 3:01,24.5
2/13/2020 4:01,24
2/13/2020 5:01,22.5
2/13/2020 6:01,23
2/13/2020 7:01,23
2/13/2020 8:01,25
2/13/2020 9:01,27
2/13/2020 10:01,28
2/13/2020 11:01,29
2/13/2020 12:01,30.5
2/13/2020 13:01,30.5
2/13/2020 14:01,31
2/13/2020 15:01,30.5
2/13/2020 16:01,29.5
2/13/2020 17:01,28.5
2/13/2020 18:01,27.5
2/13/2020 19:01,26.5
2/13/2020 20:01,26
2/13/2020 21:01,26
2/13/2020 22:01,25.5
2/13/2020 23:01,26
2/14/2020 0:01,25.5
2/14/2020 1:01,25.5
2/14/2020 2:01,25.5
2/14/2020 3:01,25
2/14/2020 4:01,25
2/14/2020 5:01,25
2/14/2020 6:01,24.5
2/14/2020 7:01,24
2/14/2020 8:01,25
2/14/2020 9:01,26.5
2/14/2020 10:01,27.5
2/14/2020 11:01,29
2/14/2020 12:01,31
2/14/2020 13:01,32
2/14/2020 14:01,32.5
2/14/2020 15:01,31.5
2/14/2020 16:01,31
2/14/2020 17:01,29.5
2/14/2020 18:01,28
2/14/2020 19:01,27
2/14/2020 20:01,26.5
2/14/2020 21:01,26
2/14/2020 22:01,26
2/14/2020 23:01,26
2/15/2020 0:01,25.5
2/15/2020 1:01,25.5
2/15/2020 2:01,25.5
2/15/2020 3:01,25.5
2/15/2020 4:01,25
2/15/2020 5:01,25.5
2/15/2020 6:01,26
2/15/2020 7:01,26
2/15/2020 8:01,26.5
2/15/2020 9:01,26
2/15/2020 10:01,26.5
2/15/2020 11:01,28.5
2/15/2020 12:01,29
2/15/2020 13:01,31
2/15/2020 14:01,30
2/15/2020 15:01,31
2/15/2020 16:01,29.5
2/15/2020 17:01,29.5
2/15/2020 18:01,28
2/15/2020 19:01,26.5
2/15/2020 20:01,26.5
2/15/2020 21:01,26.5
2/15/2020 22:01,26
2/15/2020 23:01,25.5
2/16/2020 0:01,26
2/16/2020 1:01,25.5
2/16/2020 2:01,25.5
2/16/2020 3:01,25.5
2/16/2020 4:01,25
2/16/2020 5:01,25
2/16/2020 6:01,24.5
2/16/2020 7:01,25
2/16/2020 8:01,25.5
2/16/2020 9:01,27
2/16/2020 10:01,28.5
2/16/2020 11:01,28.5
2/16/2020 12:01,30
2/16/2020 13:01,31
2/16/2020 14:01,30.5
2/16/2020 15:01,30
2/16/2020 16:01,29
2/16/2020 17:01,28
2/16/2020 18:01,27
2/16/2020 19:01,26
2/16/2020 20:01,25.5
2/16/2020 21:01,26
2/16/2020 22:01,25.5
2/16/2020 23:01,25
2/17/2020 0:01,25
2/17/2020 1:01,25
2/17/2020 2:01,25
2/17/2020 3:01,25
2/17/2020 4:01,25
2/17/2020 5:01,25
2/17/2020 6:01,25.5
2/17/2020 7:01,24.5
2/17/2020 8:01,25.5
2/17/2020 9:01,26.5
2/17/2020 10:01,28.5
2/17/2020 11:01,29
2/17/2020 12:01,31
2/17/2020 13:01,31.5
2/17/2020 14:01,31
2/17/2020 15:01,30.5
2/17/2020 16:01,29.5
2/17/2020 17:01,28.5
2/17/2020 18:01,27.5
2/17/2020 19:01,26.5
2/17/2020 20:01,26
2/17/2020 21:01,26
2/17/2020 22:01,26
2/17/2020 23:01,26
2/18/2020 0:01,26
2/18/2020 1:01,26.5
2/18/2020 2:01,26.5
2/18/2020 3:01,26
2/18/2020 4:01,26
2/18/2020 5:01,26.5
2/18/2020 6:01,26
2/18/2020 7:01,26
2/18/2020 8:01,26.5
2/18/2020 9:01,27
2/18/2020 10:01,28.5
2/18/2020 11:01,30
2/18/2020 12:01,31.5
2/18/2020 13:01,31.5
2/18/2020 14:01,31.5
2/18/2020 15:01,30
2/18/2020 16:01,30.5
2/18/2020 17:01,30
2/18/2020 18:01,29
2/18/2020 19:01,27.5
2/18/2020 20:01,27
2/18/2020 21:01,26.5
2/18/2020 22:01,26.5
2/18/2020 23:01,27
2/19/2020 0:01,26.5
2/19/2020 1:01,27
2/19/2020 2:01,25.5
2/19/2020 3:01,25.5
2/19/2020 4:01,25.5
2/19/2020 5:01,26
2/19/2020 6:01,26
2/19/2020 7:01,26
2/19/2020 8:01,26.5
2/19/2020 9:01,27.5
2/19/2020 10:01,29
2/19/2020 11:01,30.5
2/19/2020 12:01,32.5
2/19/2020 13:01,32.5
2/19/2020 14:01,31.5
2/19/2020 15:01,31
2/19/2020 16:01,31
2/19/2020 17:01,31
2/19/2020 18:01,29.5
2/19/2020 19:01,29
2/19/2020 20:01,28
2/19/2020 21:01,28
2/19/2020 22:01,27.5
2/19/2020 23:01,27
2/20/2020 0:01,26.5
2/20/2020 1:01,26
2/20/2020 2:01,26
2/20/2020 3:01,26
2/20/2020 4:01,26
2/20/2020 5:01,25.5
2/20/2020 6:01,25.5
2/20/2020 7:01,25.5
2/20/2020 8:01,24.5
2/20/2020 9:01,27
2/20/2020 10:01,29
2/20/2020 11:01,30.5
2/20/2020 12:01,31.5
2/20/2020 13:01,32
2/20/2020 14:01,31.5
2/20/2020 15:01,31
2/20/2020 16:01,29.5
2/20/2020 17:01,29
2/20/2020 18:01,26.5
2/20/2020 19:01,26
2/20/2020 20:01,26
2/20/2020 21:01,25.5
2/20/2020 22:01,25.5
2/20/2020 23:01,25.5
2/21/2020 0:01,25
2/21/2020 1:01,25
2/21/2020 2:01,24.5
2/21/2020 3:01,24
2/21/2020 4:01,24
2/21/2020 5:01,23.5
2/21/2020 6:01,22
2/21/2020 7:01,22
2/21/2020 8:01,24
2/21/2020 9:01,25.5
2/21/2020 10:01,25.5
2/21/2020 11:01,27
2/21/2020 12:01,29.5
2/21/2020 13:01,31
2/21/2020 14:01,29
2/21/2020 15:01,30
2/21/2020 16:01,30
2/21/2020 17:01,29.5
2/21/2020 18:01,27.5
2/21/2020 19:01,26.5
2/21/2020 20:01,26.5
2/21/2020 21:01,25.5
2/21/2020 22:01,25.5
2/21/2020 23:01,25.5
2/22/2020 0:01,25.5
2/22/2020 1:01,25.5
2/22/2020 2:01,26
2/22/2020 3:01,25
2/22/2020 4:01,25
2/22/2020 5:01,24.5
2/22/2020 6:01,24.5
2/22/2020 7:01,24.5
2/22/2020 8:01,25
2/22/2020 9:01,26.5
2/22/2020 10:01,28
2/22/2020 11:01,29.5
2/22/2020 12:01,31
2/22/2020 13:01,31
2/22/2020 14:01,31
2/22/2020 15:01,30
2/22/2020 16:01,30
2/22/2020 17:01,29
2/22/2020 18:01,28
2/22/2020 19:01,27
2/22/2020 20:01,26.5
2/22/2020 21:01,26.5
2/22/2020 22:01,25.5
2/22/2020 23:01,25
2/23/2020 0:01,25
2/23/2020 1:01,24.5
2/23/2020 2:01,24.5
2/23/2020 3:01,24.5
2/23/2020 4:01,24.5
2/23/2020 5:01,24
2/23/2020 6:01,24
2/23/2020 7:01,24
2/23/2020 8:01,25
2/23/2020 9:01,26.5
2/23/2020 10:01,27.5
2/23/2020 11:01,29
2/23/2020 12:01,30.5
2/23/2020 13:01,31.5
2/23/2020 14:01,31
2/23/2020 15:01,30.5
2/23/2020 16:01,30
2/23/2020 17:01,29.5
2/23/2020 18:01,28
2/23/2020 19:01,27
2/23/2020 20:01,27
2/23/2020 21:01,26
2/23/2020 22:01,25.5
2/23/2020 23:01,25
2/24/2020 0:01,24.5
2/24/2020 1:01,24
2/24/2020 2:01,24.5
2/24/2020 3:01,24.5
2/24/2020 4:01,23.5
2/24/2020 5:01,23.5
2/24/2020 6:01,24
2/24/2020 7:01,23
2/24/2020 8:01,23
2/24/2020 9:01,25.5
2/24/2020 10:01,28
2/24/2020 11:01,29
2/24/2020 12:01,30
2/24/2020 13:01,31.5
2/24/2020 14:01,32
2/24/2020 15:01,31.5
2/24/2020 16:01,31
2/24/2020 17:01,30
2/24/2020 18:01,28.5
2/24/2020 19:01,27
2/24/2020 20:01,25.5
2/24/2020 21:01,24.5
2/24/2020 22:01,24
2/24/2020 23:01,23.5
2/25/2020 0:01,22.5
2/25/2020 1:01,22
2/25/2020 2:01,22
2/25/2020 3:01,21.5
2/25/2020 4:01,21
2/25/2020 5:01,20.5
2/25/2020 6:01,20.5
2/25/2020 7:01,21
2/25/2020 8:01,21.5
2/25/2020 9:01,24
2/25/2020 10:01,28
2/25/2020 11:01,30
2/25/2020 12:01,29.5
2/25/2020 13:01,31
2/25/2020 14:01,31
2/25/2020 15:01,30
2/25/2020 16:01,31
2/25/2020 17:01,30
2/25/2020 18:01,28.5
2/25/2020 19:01,27
2/25/2020 20:01,26
2/25/2020 21:01,25
2/25/2020 22:01,24
2/25/2020 23:01,23.5
2/26/2020 0:01,23
2/26/2020 1:01,22.5
2/26/2020 2:01,22
2/26/2020 3:01,21.5
2/26/2020 4:01,21.5
2/26/2020 5:01,21.5
2/26/2020 6:01,21.5
2/26/2020 7:01,21
2/26/2020 8:01,21
2/26/2020 9:01,24
2/26/2020 10:01,28
2/26/2020 11:01,30.5
2/26/2020 12:01,32
2/26/2020 13:01,30.5
2/26/2020 14:01,32
2/26/2020 15:01,32
2/26/2020 16:01,32
2/26/2020 17:01,31
2/26/2020 18:01,29.5
2/26/2020 19:01,28
2/26/2020 20:01,26.5
2/26/2020 21:01,26
2/26/2020 22:01,25.5
2/26/2020 23:01,24.5
2/27/2020 0:01,24.5
2/27/2020 1:01,24
2/27/2020 2:01,23.5
2/27/2020 3:01,23
2/27/2020 4:01,23
2/27/2020 5:01,22.5
2/27/2020 6:01,22
2/27/2020 7:01,21.5
2/27/2020 8:01,23.5
2/27/2020 9:01,26
2/27/2020 10:01,29.5
2/27/2020 11:01,31.5
2/27/2020 12:01,33
2/27/2020 13:01,33.5
2/27/2020 14:01,32.5
2/27/2020 15:01,32
2/27/2020 16:01,32
2/27/2020 17:01,31.5
2/27/2020 18:01,30
2/27/2020 19:01,29
2/27/2020 20:01,27.5
2/27/2020 21:01,27
2/27/2020 22:01,26.5
2/27/2020 23:01,26.5
2/28/2020 0:01,26
2/28/2020 1:01,26
2/28/2020 2:01,26
2/28/2020 3:01,26.5
2/28/2020 4:01,25.5
2/28/2020 5:01,25.5
2/28/2020 6:01,25
2/28/2020 7:01,25
2/28/2020 8:01,25.5
2/28/2020 9:01,27
2/28/2020 10:01,28.5
2/28/2020 11:01,29.5
2/28/2020 12:01,31
2/28/2020 13:01,32
2/28/2020 14:01,31.5
2/28/2020 15:01,31
2/28/2020 16:01,31
2/28/2020 17:01,30.5
2/28/2020 18:01,29
2/28/2020 19:01,27.5
2/28/2020 20:01,27
2/28/2020 21:01,26
2/28/2020 22:01,25.5
2/28/2020 23:01,25.5
2/29/2020 0:01,25
2/29/2020 1:01,25.5
2/29/2020 2:01,25
2/29/2020 3:01,25.5
2/29/2020 4:01,25.5
2/29/2020 5:01,25.5
2/29/2020 6:01,26
2/29/2020 7:01,25.5
2/29/2020 8:01,25.5
2/29/2020 9:01,26
2/29/2020 10:01,27.5
2/29/2020 11:01,30
2/29/2020 12:01,31.5
2/29/2020 13:01,32.5
2/29/2020 14:01,32.5
2/29/2020 15:01,32.5
2/29/2020 16:01,31.5
2/29/2020 17:01,30.5
2/29/2020 18:01,29.5
2/29/2020 19:01,27.5
2/29/2020 20:01,26.5
2/29/2020 21:01,26.5
2/29/2020 22:01,26.5
2/29/2020 23:01,26
3/1/2020 0:01,25.5
3/1/2020 1:01,25
3/1/2020 2:01,24.5
3/1/2020 3:01,24
3/1/2020 4:01,24
3/1/2020 5:01,24
3/1/2020 6:01,23.5
3/1/2020 7:01,23
3/1/2020 8:01,22.5
3/1/2020 9:01,24
3/1/2020 10:01,26.5
3/1/2020 11:01,27
3/1/2020 12:01,28
3/1/2020 13:01,28.5
3/1/2020 14:01,27.5
3/1/2020 15:01,27
3/1/2020 16:01,27.5
3/1/2020 17:01,29
3/1/2020 18:01,27.5
3/1/2020 19:01,26.5
3/1/2020 20:01,26
3/1/2020 21:01,25.5
3/1/2020 22:01,25
3/1/2020 23:01,25
3/2/2020 0:01,24.5
3/2/2020 1:01,24.5
3/2/2020 2:01,24.5
3/2/2020 3:01,24
3/2/2020 4:01,24.5
3/2/2020 5:01,24
3/2/2020 6:01,24
3/2/2020 7:01,24
3/2/2020 8:01,25
3/2/2020 9:01,26
3/2/2020 10:01,28
3/2/2020 11:01,29
3/2/2020 12:01,30
3/2/2020 13:01,31.5
3/2/2020 14:01,31
3/2/2020 15:01,31
3/2/2020 16:01,31
3/2/2020 17:01,30
3/2/2020 18:01,29
3/2/2020 19:01,27.5
3/2/2020 20:01,26.5
3/2/2020 21:01,25.5
3/2/2020 22:01,25
3/2/2020 23:01,24.5
3/3/2020 0:01,24.5
3/3/2020 1:01,24.5
3/3/2020 2:01,24
3/3/2020 3:01,24.5
3/3/2020 4:01,24.5
3/3/2020 5:01,24.5
3/3/2020 6:01,24
3/3/2020 7:01,23
3/3/2020 8:01,23
3/3/2020 9:01,26.5
3/3/2020 10:01,29.5
3/3/2020 11:01,30
3/3/2020 12:01,29
3/3/2020 13:01,29.5
3/3/2020 14:01,30
3/3/2020 15:01,31
3/3/2020 16:01,30.5
3/3/2020 17:01,30.5
3/3/2020 18:01,29
3/3/2020 19:01,27.5
3/3/2020 20:01,26.5
3/3/2020 21:01,26.5
3/3/2020 22:01,25.5
3/3/2020 23:01,25.5
3/4/2020 0:01,25
3/4/2020 1:01,25
3/4/2020 2:01,25
3/4/2020 3:01,24.5
3/4/2020 4:01,24.5
3/4/2020 5:01,25
3/4/2020 6:01,24.5
3/4/2020 7:01,24
3/4/2020 8:01,24
3/4/2020 9:01,27.5
3/4/2020 10:01,29
3/4/2020 11:01,30.5
3/4/2020 12:01,31
3/4/2020 13:01,32
3/4/2020 14:01,33
3/4/2020 15:01,31
3/4/2020 16:01,31.5
3/4/2020 17:01,31
3/4/2020 18:01,29
3/4/2020 19:01,27.5
3/4/2020 20:01,27
3/4/2020 21:01,26.5
3/4/2020 22:01,26
3/4/2020 23:01,25.5
3/5/2020 0:01,25
3/5/2020 1:01,24.5
3/5/2020 2:01,23
3/5/2020 3:01,23.5
3/5/2020 4:01,23.5
3/5/2020 5:01,23.5
3/5/2020 6:01,22.5
3/5/2020 7:01,21.5
3/5/2020 8:01,23
3/5/2020 9:01,27
3/5/2020 10:01,29.5
3/5/2020 11:01,31
3/5/2020 12:01,31.5
3/5/2020 13:01,32
3/5/2020 14:01,32
3/5/2020 15:01,31.5
3/5/2020 16:01,32
3/5/2020 17:01,31
3/5/2020 18:01,29.5
3/5/2020 19:01,28
3/5/2020 20:01,27
3/5/2020 21:01,26.5
3/5/2020 22:01,25.5
3/5/2020 23:01,25.5
3/6/2020 0:01,25
3/6/2020 1:01,25
3/6/2020 2:01,25
3/6/2020 3:01,23.5
3/6/2020 4:01,23
3/6/2020 5:01,23.5
3/6/2020 6:01,24
3/6/2020 7:01,23
3/6/2020 8:01,23
3/6/2020 9:01,26.5
3/6/2020 10:01,28.5
-end-,
